IGN,YEAR,POS,NAT,TEAM,BIRTH,CHAMP1,CHAMP2,CHAMP3,LEAGUE
RAY,17,Top Laner,South Korea,Cloud9,1998-03-15,Jarvan IV,Kled,Maokai,LCS
CONTRACTZ,17,Jungler,United States,Cloud9,1999-08-25,Kha'Zix,Lee Sin,Elise,LCS
JENSEN,17,Mid Laner,Denmark,Cloud9,1995-01-01,Orianna,Syndra,Cassiopeia,LCS
SNEAKY,17,Bot Laner,United States,Cloud9,1994-03-19,Jhin,Xayah,Varus,LCS
SMOOTHIE,17,Support,Canada,Cloud9,1997-02-10,Thresh,Lulu,Karma,LCS
DARSHAN,17,Top Laner,Canada,Counter Logic Gaming,1994-11-12,Maokai,Shen,Fiora,LCS
XMITHIE,17,Jungler,Philippines,Counter Logic Gaming,1991-05-10,Gragas,Graves,Rengar,LCS
HUHI,17,Mid Laner,South Korea,Counter Logic Gaming,1995-04-03,Orianna,Taliyah,Ahri,LCS
STIXXAY,17,Bot Laner,United States,Counter Logic Gaming,1997-03-16,Ashe,Caitlyn,Jhin,LCS
APHROMOO,17,Support,United States,Counter Logic Gaming,1992-09-08,Thresh,Morgana,Alistar,LCS
JOEY,17,Support,United States,Counter Logic Gaming,1998-10-21,Janna,Karma,0,LCS
SSUMDAY,17,Top Laner,South Korea,Dignitas,1996-07-03,Maokai,Shen,Nautilus,LCS
CHASER,17,Jungler,South Korea,Dignitas,1995-08-01,Lee Sin,Rengar,Kha'Zix,LCS
KEANE,17,Mid Laner,South Korea,Dignitas,1993-08-03,Cassiopeia,Orianna,Syndra,LCS
LOD,17,Bot Laner,Canada,Dignitas,1997-04-30,Jhin,Ashe,Varus,LCS
XPECIAL,17,Support,United States,Dignitas,1992-08-12,Braum,Thresh,Lulu,LCS
STUNT,17,Support,United States,Dignitas,1995-11-13,Karma,Taric,Lulu,LCS
LOOPER,17,Top Laner,South Korea,Echo Fox,1993-02-28,Rumble,Maokai,Renekton,LCS
AKAADIAN,17,Jungler,United States,Echo Fox,1996-12-26,Kha'Zix,Lee Sin,Rek'Sai,LCS
FROGGEN,17,Mid Laner,Denmark,Echo Fox,1994-02-21,Corki,Viktor,Taliyah,LCS
KEITH,17,Bot Laner,United States,Echo Fox,1997-11-23,Ashe,Varus,Jhin,LCS
GATE,17,Support,United States,Echo Fox,1994-03-20,Tahm Kench,Karma,Malzahar,LCS
BALIS,17,Top Laner,United States,FlyQuest,1994-06-22,Rumble,Maokai,Nautilus,LCS
MOON,17,Jungler,United States,FlyQuest,1997-11-24,Rengar,Kha'Zix,Gragas,LCS
HAI,17,Mid Laner,United States,FlyQuest,1992-09-20,Orianna,Corki,Syndra,LCS
ALTEC,17,Bot Laner,Canada,FlyQuest,1997-05-08,Tristana,Jhin,Caitlyn,LCS
LEMONNATION,17,Support,United States,FlyQuest,1989-06-15,Karma,Zyra,Malzahar,LCS
FLAME,17,Top Laner,South Korea,Immortals,1992-08-13,Maokai,Jarvan IV,Renekton,LCS
DARDOCH,17,Jungler,United States,Immortals,1998-04-10,Gragas,Lee Sin,Rek'Sai,LCS
POBELTER,17,Mid Laner,United States,Immortals,1996-10-14,Orianna,Taliyah,Syndra,LCS
CODY SUN,17,Bot Laner,Canada,Immortals,1997-04-25,Varus,Jhin,Ashe,LCS
OLLEH,17,Support,South Korea,Immortals,1994-11-27,Thresh,Bard,Karma,LCS
ZIG,17,Top Laner,Canada,Phoenix1,1994-09-15,Kled,Renekton,Shen,LCS
INORI,17,Jungler,Canada,Phoenix1,1994-12-31,Kha'Zix,Elise,Rek'Sai,LCS
METEOS,17,Jungler,United States,Phoenix1,1993-06-13,Elise,Zac,Rengar,LCS
RYU,17,Mid Laner,South Korea,Phoenix1,1994-01-28,Corki,Orianna,Syndra,LCS
ARROW,17,Bot Laner,South Korea,Phoenix1,1994-07-20,Varus,Jhin,Kalista,LCS
ADRIAN,17,Support,United States,Phoenix1,1997-02-18,Nami,Thresh,Janna,LCS
STUNT,17,Support,United States,Phoenix1,1995-11-13,Karma,Taric,Lulu,LCS
SHADY,17,Support,United States,Phoenix1,,Lulu,Karma,Braum,LCS
SERAPH,17,Top Laner,South Korea,Team EnVyUs,1995-03-09,Renekton,Shen,Rumble,LCS
NINJA,17,Mid Laner,South Korea,Team EnVyUs,,Jayce,Orianna,Corki,LCS
LIRA,17,Jungler,South Korea,Team EnVyUs,1995-01-15,Elise,Lee Sin,Rek'Sai,LCS
ALEXICH,17,Mid Laner,Russia,Team EnVyUs,1992-01-31,Corki,Malzahar,Orianna,LCS
APOLLO,17,Bot Laner,United States,Team EnVyUs,1994-08-15,Varus,Caitlyn,Ashe,LCS
HAKUHO,17,Support,United States,Team EnVyUs,1995-02-26,Zyra,Karma,Thresh,LCS
LOURLO,17,Top Laner,United States,Team Liquid,1998-03-24,Nautilus,Maokai,Poppy,LCS
REIGNOVER,17,Jungler,South Korea,Team Liquid,1995-07-04,Kha'Zix,Elise,Rek'Sai,LCS
GOLDENGLUE,17,Mid Laner,United States,Team Liquid,1996-11-23,Orianna,Taliyah,Cassiopeia,LCS
PIGLET,17,Bot Laner,South Korea,Team Liquid,1994-02-04,Ashe,Caitlyn,Ahri,LCS
YOUNGBIN,17,Bot Laner,South Korea,Team Liquid,1994-09-16,Jhin,Ezreal,Varus,LCS
DOUBLELIFT,17,Bot Laner,United States,Team Liquid,1993-07-19,Tristana,Ashe,Jhin,LCS
MATT,17,Support,United States,Team Liquid,1997-06-27,Thresh,Karma,Lulu,LCS
ADRIAN,17,Support,United States,Team Liquid,1997-02-18,Nami,Thresh,Janna,LCS
HAUNTZER,17,Top Laner,United States,TSM,1995-05-20,Nautilus,Shen,Gnar,LCS
SVENSKEREN,17,Jungler,Denmark,TSM,1996-01-02,Lee Sin,Gragas,Kha'Zix,LCS
BJERGSEN,17,Mid Laner,Denmark,TSM,1996-02-21,Syndra,Cassiopeia,Orianna,LCS
WILDTURTLE,17,Bot Laner,Canada,TSM,1995-02-09,Ashe,Jhin,Varus,LCS
BIOFROST,17,Support,Canada,TSM,1996-09-17,Lulu,Karma,Braum,LCS
SSUMDAY,18,Top Laner,South Korea,100 Thieves,1996-07-03,Cho'Gath,Gnar,Gangplank,LCS
METEOS,18,Jungler,United States,100 Thieves,1993-06-13,Trundle,Sejuani,Skarner,LCS
RYU,18,Mid Laner,South Korea,100 Thieves,1994-01-28,Ryze,Taliyah,Zoe,LCS
CODY SUN,18,Bot Laner,Canada,100 Thieves,1997-04-25,Tristana,Xayah,Ezreal,LCS
APHROMOO,18,Support,United States,100 Thieves,1992-09-08,Braum,Alistar,Rakan,LCS
LICORICE,18,Top Laner,Canada,Cloud9,1997-09-30,Shen,Ornn,Gnar,LCS
SVENSKEREN,18,Jungler,Denmark,Cloud9,1996-01-02,Sejuani,Gragas,Graves,LCS
JENSEN,18,Mid Laner,Denmark,Cloud9,1995-01-01,Ryze,Zilean,Orianna,LCS
SNEAKY,18,Bot Laner,United States,Cloud9,1994-03-19,Kai'Sa,Xayah,Ezreal,LCS
SMOOTHIE,18,Support,Canada,Cloud9,1997-02-10,Braum,Alistar,Tahm Kench,LCS
SOLO,18,Top Laner,United States,Clutch Gaming,1993-05-26,Gnar,Gangplank,Cho'Gath,LCS
LIRA,18,Jungler,South Korea,Clutch Gaming,1995-01-15,Skarner,Sejuani,Trundle,LCS
FEBIVEN,18,Mid Laner,Netherlands,Clutch Gaming,1996-09-23,Azir,Orianna,Swain,LCS
APOLLO,18,Bot Laner,United States,Clutch Gaming,1994-08-15,Caitlyn,Ezreal,Varus,LCS
HAKUHO,18,Support,United States,Clutch Gaming,1995-02-26,Braum,Tahm Kench,Thresh,LCS
DARSHAN,18,Top Laner,Canada,Counter Logic Gaming,1994-11-12,Cho'Gath,Gnar,Ornn,LCS
REIGNOVER,18,Jungler,South Korea,Counter Logic Gaming,1995-07-04,Sejuani,Olaf,Trundle,LCS
HUHI,18,Mid Laner,South Korea,Counter Logic Gaming,1995-04-03,Orianna,Ryze,Taliyah,LCS
STIXXAY,18,Bot Laner,United States,Counter Logic Gaming,1997-03-16,Varus,Ezreal,Kalista,LCS
BIOFROST,18,Support,Canada,Counter Logic Gaming,1996-09-17,Braum,Rakan,Alistar,LCS
HUNI,18,Top Laner,South Korea,Echo Fox,1997-12-25,Gangplank,Gnar,Rumble,LCS
DARDOCH,18,Jungler,United States,Echo Fox,1998-04-10,Sejuani,Zac,Kindred,LCS
FENIX,18,Mid Laner,South Korea,Echo Fox,1995-12-07,Ryze,Cassiopeia,Zoe,LCS
DAMONTE,18,Mid Laner,United States,Echo Fox,1997-12-02,Ryze,Syndra,Cassiopeia,LCS
ALTEC,18,Bot Laner,Canada,Echo Fox,1997-05-08,Kalista,Caitlyn,Lucian,LCS
ADRIAN,18,Support,United States,Echo Fox,1997-02-18,Braum,Tahm Kench,Shen,LCS
PAPA CHAU,18,Support,United States,Echo Fox,1996-11-17,Braum,Alistar,Tahm Kench,LCS
FLAME,18,Top Laner,South Korea,FlyQuest,1992-08-13,Gangplank,Gnar,Rumble,LCS
ANDA,18,Jungler,Canada,FlyQuest,1995-08-03,Sejuani,Graves,Zac,LCS
SHRIMP,18,Jungler,South Korea,FlyQuest,,Sejuani,Olaf,Skarner,LCS
KEANE,18,Mid Laner,South Korea,FlyQuest,1993-08-03,Orianna,Zoe,Azir,LCS
FLY,18,Mid Laner,South Korea,FlyQuest,1996-02-25,Zoe,Galio,Lulu,LCS
WILDTURTLE,18,Bot Laner,Canada,FlyQuest,1995-02-09,Varus,Ezreal,Ashe,LCS
STUNT,18,Support,United States,FlyQuest,1995-11-13,Rakan,Braum,Shen,LCS
JAYJ,18,Support,Canada,FlyQuest,1997-09-13,Alistar,Braum,Tahm Kench,LCS
LOURLO,18,Top Laner,United States,Golden Guardians,1998-03-24,Gnar,Ornn,Dr. Mundo,LCS
CONTRACTZ,18,Jungler,United States,Golden Guardians,1999-08-25,Nocturne,Kindred,Graves,LCS
HAI,18,Mid Laner,United States,Golden Guardians,1992-09-20,Orianna,Ryze,Corki,LCS
DEFTLY,18,Bot Laner,United States,Golden Guardians,1997-12-22,Varus,Tristana,Heimerdinger,LCS
MATT,18,Support,United States,Golden Guardians,1997-06-27,Braum,Rakan,Fiddlesticks,LCS
ZIG,18,Top Laner,Canada,OpTic Gaming,1994-09-15,Gnar,Kled,Maokai,LCS
DHOKLA,18,Top Laner,United States,OpTic Gaming,1997-07-17,Camille,Gangplank,Aatrox,LCS
AKAADIAN,18,Jungler,United States,OpTic Gaming,1996-12-26,Sejuani,Graves,Kha'Zix,LCS
POWEROFEVIL,18,Mid Laner,Germany,OpTic Gaming,1997-10-27,Viktor,Syndra,Orianna,LCS
ARROW,18,Bot Laner,South Korea,OpTic Gaming,1994-07-20,Varus,Ezreal,Jhin,LCS
LEMONNATION,18,Support,United States,OpTic Gaming,1989-06-15,Braum,Tahm Kench,Morgana,LCS
IMPACT,18,Top Laner,South Korea,Team Liquid,1995-03-07,Ornn,Gangplank,Sion,LCS
XMITHIE,18,Jungler,Philippines,Team Liquid,1991-05-10,Sejuani,Trundle,Gragas,LCS
POBELTER,18,Mid Laner,United States,Team Liquid,1996-10-14,Ryze,Azir,Malzahar,LCS
DOUBLELIFT,18,Bot Laner,United States,Team Liquid,1993-07-19,Kai'Sa,Jhin,Tristana,LCS
OLLEH,18,Support,South Korea,Team Liquid,1994-11-27,Braum,Tahm Kench,Morgana,LCS
HAUNTZER,18,Top Laner,United States,TSM,1995-05-20,Sion,Gnar,Gangplank,LCS
MIKEYEUNG,18,Jungler,United States,TSM,1999-05-22,Sejuani,Skarner,Rek'Sai,LCS
BJERGSEN,18,Mid Laner,Denmark,TSM,1996-02-21,Syndra,Ryze,Irelia,LCS
ZVEN,18,Bot Laner,Denmark,TSM,1997-06-24,Ezreal,Varus,Kai'Sa,LCS
MITHY,18,Support,Spain,TSM,1994-10-05,Braum,Tahm Kench,Rakan,LCS
SSUMDAY,19,Top Laner,South Korea,100 Thieves,1996-07-03,Aatrox,Renekton,Camille,LCS
FAKEGOD,19,Top Laner,United States,100 Thieves,2000-05-27,Aatrox,Gangplank,Kennen,LCS
ANDA,19,Jungler,Canada,100 Thieves,1995-08-03,Sejuani,Elise,Jarvan IV,LCS
FRAGAS,19,Jungler,United States,100 Thieves,1996-12-16,Nunu,Kha'Zix,Lee Sin,LCS
HUHI,19,Mid Laner,South Korea,100 Thieves,1995-04-03,Braum,Tahm Kench,Ryze,LCS
SOLIGO,19,Mid Laner,United States,100 Thieves,1997-12-15,Azir,Lissandra,Sylas,LCS
BANG,19,Bot Laner,South Korea,100 Thieves,1996-05-18,Ezreal,Xayah,Sivir,LCS
APHROMOO,19,Support,United States,100 Thieves,1992-09-08,Braum,Rakan,Alistar,LCS
STUNT,19,Support,United States,100 Thieves,1995-11-13,Braum,Rakan,Morgana,LCS
LICORICE,19,Top Laner,Canada,Cloud9,1997-09-30,Aatrox,Urgot,Akali,LCS
KUMO,19,Top Laner,United States,Cloud9,2000-03-09,Aatrox,Poppy,Jayce,LCS
SVENSKEREN,19,Jungler,Denmark,Cloud9,1996-01-02,Jarvan IV,Gragas,Sejuani,LCS
BLABER,19,Jungler,United States,Cloud9,2000-01-04,Jarvan IV,Gragas,Rek'Sai,LCS
NISQY,19,Mid Laner,Belgium,Cloud9,1998-07-28,Sylas,Irelia,Zoe,LCS
GOLDENGLUE,19,Mid Laner,United States,Cloud9,1996-11-23,Lissandra,Akali,Syndra,LCS
SNEAKY,19,Bot Laner,United States,Cloud9,1994-03-19,Ezreal,Sivir,Kai'Sa,LCS
KEITH,19,Bot Laner,United States,Cloud9,1997-11-23,Ezreal,Lucian,Sivir,LCS
ZEYZAL,19,Support,United States,Cloud9,1999-07-07,Braum,Alistar,Galio,LCS
DIAMOND,19,Support,Canada,Cloud9,1996-02-08,Braum,Thresh,Rakan,LCS
HUNI,19,Top Laner,South Korea,Clutch Gaming,1997-12-25,Rumble,Irelia,Gangplank,LCS
LIRA,19,Jungler,South Korea,Clutch Gaming,1995-01-15,Skarner,Jarvan IV,Elise,LCS
DAMONTE,19,Mid Laner,United States,Clutch Gaming,1997-12-02,Qiyana,Syndra,Irelia,LCS
PIGLET,19,Bot Laner,South Korea,Clutch Gaming,1994-02-04,Ezreal,Irelia,Sivir,LCS
CODY SUN,19,Bot Laner,Canada,Clutch Gaming,1997-04-25,Xayah,Kai'Sa,Sivir,LCS
VULCAN,19,Support,Canada,Clutch Gaming,1999-04-20,Rakan,Nautilus,Tahm Kench,LCS
DARSHAN,19,Top Laner,Canada,Counter Logic Gaming,1994-11-12,Aatrox,Sion,Gnar,LCS
FALLENBANDIT,19,Top Laner,United States,Counter Logic Gaming,1996-06-04,Kennen,Rumble,Gangplank,LCS
MOON,19,Jungler,United States,Counter Logic Gaming,1997-11-24,Rengar,Aatrox,Sejuani,LCS
WIGGILY,19,Jungler,United States,Counter Logic Gaming,1997-09-11,Sejuani,Jarvan IV,Rek'Sai,LCS
POWEROFEVIL,19,Mid Laner,Germany,Counter Logic Gaming,1997-10-27,Orianna,Syndra,Azir,LCS
STIXXAY,19,Bot Laner,United States,Counter Logic Gaming,1997-03-16,Xayah,Sivir,Ezreal,LCS
AUTO,19,Bot Laner,United States,Counter Logic Gaming,1999-02-22,Ezreal,Xayah,Lucian,LCS
BIOFROST,19,Support,Canada,Counter Logic Gaming,1996-09-17,Tahm Kench,Rakan,Braum,LCS
SOLO,19,Top Laner,United States,Echo Fox,1993-05-26,Aatrox,Gangplank,Jayce,LCS
RUSH,19,Jungler,South Korea,Echo Fox,1993-04-06,Jarvan IV,Sejuani,Gragas,LCS
PANDA,19,Jungler,Australia,Echo Fox,1996-05-28,Jarvan IV,Sejuani,Olaf,LCS
FENIX,19,Mid Laner,South Korea,Echo Fox,1995-12-07,Corki,Zoe,Syndra,LCS
APOLLO,19,Bot Laner,United States,Echo Fox,1994-08-15,Xayah,Ezreal,Sivir,LCS
HAKUHO,19,Support,United States,Echo Fox,1995-02-26,Braum,Rakan,Nautilus,LCS
V1PER,19,Top Laner,Canada,FlyQuest,1998-01-25,Aatrox,Riven,Irelia,LCS
SANTORIN,19,Jungler,Denmark,FlyQuest,1997-05-06,Rek'Sai,Sejuani,Nocturne,LCS
MAXI,19,Jungler,Denmark,FlyQuest,2000-06-24,Nocturne,Jarvan IV,Gragas,LCS
POBELTER,19,Mid Laner,United States,FlyQuest,1996-10-14,Zoe,Lissandra,Corki,LCS
WILDTURTLE,19,Bot Laner,Canada,FlyQuest,1995-02-09,Xayah,Kai'Sa,Ezreal,LCS
JAYJ,19,Support,Canada,FlyQuest,1997-09-13,Braum,Rakan,Galio,LCS
HAUNTZER,19,Top Laner,United States,Golden Guardians,1995-05-20,Aatrox,Kennen,Urgot,LCS
CONTRACTZ,19,Jungler,United States,Golden Guardians,1999-08-25,Jarvan IV,Lee Sin,Rek'Sai,LCS
FROGGEN,19,Mid Laner,Denmark,Golden Guardians,1994-02-21,Vel'Koz,Karthus,Lissandra,LCS
DEFTLY,19,Bot Laner,United States,Golden Guardians,1997-12-22,Ezreal,Varus,Lucian,LCS
OLLEH,19,Support,South Korea,Golden Guardians,1994-11-27,Tahm Kench,Braum,Rakan,LCS
ALLORIM,19,Top Laner,United States,OpTic Gaming,1995-09-05,Sion,Neeko,Ornn,LCS
DHOKLA,19,Top Laner,United States,OpTic Gaming,1997-07-17,Aatrox,Poppy,Jayce,LCS
DARDOCH,19,Jungler,United States,OpTic Gaming,1998-04-10,Rengar,Olaf,Jarvan IV,LCS
METEOS,19,Jungler,United States,OpTic Gaming,1993-06-13,Jarvan IV,Sejuani,Olaf,LCS
CROWN,19,Mid Laner,South Korea,OpTic Gaming,1995-02-28,Zoe,Corki,Azir,LCS
ASTA,19,Bot Laner,Vietnam,OpTic Gaming,1999-12-10,Kai'Sa,Sivir,Xayah,LCS
ARROW,19,Bot Laner,South Korea,OpTic Gaming,1994-07-20,Sivir,Ezreal,Xayah,LCS
GATE,19,Support,United States,OpTic Gaming,1994-03-20,Tahm Kench,Thresh,Rakan,LCS
BIG,19,Support,United States,OpTic Gaming,,Nautilus,Tahm Kench,Thresh,LCS
IMPACT,19,Top Laner,South Korea,Team Liquid,1995-03-07,Kennen,Aatrox,Gangplank,LCS
XMITHIE,19,Jungler,Philippines,Team Liquid,1991-05-10,Jarvan IV,Skarner,Sejuani,LCS
JENSEN,19,Mid Laner,Denmark,Team Liquid,1995-01-01,Akali,LeBlanc,Orianna,LCS
DOUBLELIFT,19,Bot Laner,United States,Team Liquid,1993-07-19,Kai'Sa,Xayah,Varus,LCS
COREJJ,19,Support,South Korea,Team Liquid,1994-06-22,Tahm Kench,Rakan,Braum,LCS
BROKENBLADE,19,Top Laner,Germany,TSM,2000-01-19,Jayce,Vladimir,Aatrox,LCS
AKAADIAN,19,Jungler,United States,TSM,1996-12-26,Rek'Sai,Sejuani,Gragas,LCS
BJERGSEN,19,Mid Laner,Denmark,TSM,1996-02-21,Lissandra,Corki,Zilean,LCS
ZVEN,19,Bot Laner,Denmark,TSM,1997-06-24,Ezreal,Sivir,Lucian,LCS
SMOOTHIE,19,Support,Canada,TSM,1997-02-10,Tahm Kench,Galio,Braum,LCS
SSUMDAY,20,Top Laner,South Korea,100 Thieves,1996-07-03,Aatrox,Sett,Ornn,LCS
METEOS,20,Jungler,United States,100 Thieves,1993-06-13,Gragas,Trundle,Sejuani,LCS
RYOMA,20,Mid Laner,Australia,100 Thieves,1999-06-25,Orianna,Syndra,Zoe,LCS
CODY SUN,20,Bot Laner,Canada,100 Thieves,1997-04-25,Miss Fortune,Aphelios,Ashe,LCS
STUNT,20,Support,United States,100 Thieves,1995-11-13,Nautilus,Thresh,Rakan,LCS
LICORICE,20,Top Laner,Canada,Cloud9,1997-09-30,Sett,Aatrox,Gangplank,LCS
BLABER,20,Jungler,United States,Cloud9,2000-01-04,Lee Sin,Gragas,Olaf,LCS
NISQY,20,Mid Laner,Belgium,Cloud9,1998-07-28,Zoe,Twisted Fate,Rumble,LCS
ZVEN,20,Bot Laner,Denmark,Cloud9,1997-06-24,Ezreal,Aphelios,Kalista,LCS
VULCAN,20,Support,Canada,Cloud9,1999-04-20,Tahm Kench,Nautilus,Yuumi,LCS
RUIN,20,Top Laner,South Korea,Counter Logic Gaming,1995-11-16,Aatrox,Ornn,Camille,LCS
WIGGILY,20,Jungler,United States,Counter Logic Gaming,1997-09-11,Trundle,Sett,Rek'Sai,LCS
CROWN,20,Mid Laner,South Korea,Counter Logic Gaming,1995-02-28,Orianna,Zoe,Syndra,LCS
POBELTER,20,Mid Laner,United States,Counter Logic Gaming,1996-10-14,Syndra,Azir,Orianna,LCS
STIXXAY,20,Bot Laner,United States,Counter Logic Gaming,1997-03-16,Ezreal,Aphelios,Miss Fortune,LCS
WIND,20,Bot Laner,South Korea,Counter Logic Gaming,1999-04-11,Aphelios,Draven,Ezreal,LCS
SMOOTHIE,20,Support,Canada,Counter Logic Gaming,1997-02-10,Nautilus,Braum,Tahm Kench,LCS
HUNI,20,Top Laner,South Korea,Dignitas,1997-12-25,Gangplank,Rumble,Ornn,LCS
GRIG,20,Jungler,United States,Dignitas,1998-09-09,Jarvan IV,Olaf,Lee Sin,LCS
AKAADIAN,20,Jungler,United States,Dignitas,1996-12-26,Lee Sin,Olaf,Jarvan IV,LCS
FROGGEN,20,Mid Laner,Denmark,Dignitas,1994-02-21,Orianna,Viktor,LeBlanc,LCS
JOHNSUN,20,Bot Laner,Canada,Dignitas,1999-01-03,Aphelios,Ashe,Senna,LCS
APHROMOO,20,Support,United States,Dignitas,1992-09-08,Thresh,Tahm Kench,Braum,LCS
KUMO,20,Top Laner,United States,Evil Geniuses,2000-03-09,Aatrox,Ornn,Volibear,LCS
SVENSKEREN,20,Jungler,Denmark,Evil Geniuses,1996-01-02,Lee Sin,Graves,Gragas,LCS
JIIZUKE,20,Mid Laner,Italy,Evil Geniuses,1996-01-14,LeBlanc,Ryze,Zoe,LCS
BANG,20,Bot Laner,South Korea,Evil Geniuses,1996-05-18,Aphelios,Ezreal,Senna,LCS
ZEYZAL,20,Support,United States,Evil Geniuses,1999-07-07,Tahm Kench,Braum,Nautilus,LCS
V1PER,20,Top Laner,Canada,FlyQuest,1998-01-25,Sett,Aatrox,Renekton,LCS
SOLO,20,Top Laner,United States,FlyQuest,1993-05-26,Ornn,Sett,Aatrox,LCS
SANTORIN,20,Jungler,Denmark,FlyQuest,1997-05-06,Trundle,Volibear,Graves,LCS
POWEROFEVIL,20,Mid Laner,Germany,FlyQuest,1997-10-27,Orianna,Azir,Syndra,LCS
WILDTURTLE,20,Bot Laner,Canada,FlyQuest,1995-02-09,Aphelios,Ashe,Xayah,LCS
IGNAR,20,Support,South Korea,FlyQuest,1996-11-20,Rakan,Thresh,Blitzcrank,LCS
HAUNTZER,20,Top Laner,United States,Golden Guardians,1995-05-20,Aatrox,Mordekaiser,Kennen,LCS
CLOSER,20,Jungler,Turkey,Golden Guardians,1998-09-29,Lee Sin,Graves,Jarvan IV,LCS
GOLDENGLUE,20,Mid Laner,United States,Golden Guardians,1996-11-23,Zoe,Orianna,LeBlanc,LCS
FBI,20,Bot Laner,Australia,Golden Guardians,1999-02-11,Aphelios,Ezreal,Varus,LCS
KEITH,20,Support,United States,Golden Guardians,1997-11-23,Ashe,Ezreal,Nautilus,LCS
HUHI,20,Support,South Korea,Golden Guardians,1995-04-03,Braum,Nautilus,Thresh,LCS
SOAZ,20,Top Laner,France,Immortals,1994-01-09,Ornn,Aatrox,Gangplank,LCS
XMITHIE,20,Jungler,Philippines,Immortals,1991-05-10,Trundle,Graves,Elise,LCS
EIKA,20,Mid Laner,France,Immortals,1996-07-19,Orianna,Syndra,Azir,LCS
ALTEC,20,Bot Laner,Canada,Immortals,1997-05-08,Ezreal,Xayah,Kalista,LCS
APOLLO,20,Bot Laner,United States,Immortals,1994-08-15,Ezreal,Miss Fortune,Ashe,LCS
HAKUHO,20,Support,United States,Immortals,1995-02-26,Nautilus,Rakan,Braum,LCS
IMPACT,20,Top Laner,South Korea,Team Liquid,1995-03-07,Ornn,Mordekaiser,Shen,LCS
SHERNFIRE,20,Jungler,Australia,Team Liquid,1998-05-04,Jarvan IV,Gragas,Olaf,LCS
BROXAH,20,Jungler,Denmark,Team Liquid,1997-08-12,Lee Sin,Graves,Trundle,LCS
JENSEN,20,Mid Laner,Denmark,Team Liquid,1995-01-01,Azir,Syndra,Zoe,LCS
DOUBLELIFT,20,Bot Laner,United States,Team Liquid,1993-07-19,Ashe,Senna,Aphelios,LCS
TACTICAL,20,Bot Laner,United States,Team Liquid,2000-08-18,Ashe,Miss Fortune,Aphelios,LCS
COREJJ,20,Support,South Korea,Team Liquid,1994-06-22,Braum,Thresh,Bard,LCS
BROKENBLADE,20,Top Laner,Germany,TSM,2000-01-19,Aatrox,Ornn,Shen,LCS
DARDOCH,20,Jungler,United States,TSM,1998-04-10,Jarvan IV,Lee Sin,Gragas,LCS
BJERGSEN,20,Mid Laner,Denmark,TSM,1996-02-21,Syndra,Zilean,Azir,LCS
KOBBE,20,Bot Laner,Denmark,TSM,1996-09-21,Xayah,Aphelios,Varus,LCS
BIOFROST,20,Support,Canada,TSM,1996-09-17,Rakan,Bard,Tahm Kench,LCS
NICKWU,13,Top Laner,United States,CompLexity Gaming,1992-07-25,Rumble,Jayce,Shen,LCS
LAUTEMORTIS,13,Jungler,United States,CompLexity Gaming,1990-03-13,Jarvan IV,Amumu,Shen,LCS
CHUUPER,13,Mid Laner,United States,CompLexity Gaming,1991-09-18,Kha'Zix,Diana,Kayle,LCS
PR0LLY,13,Mid Laner,United States,CompLexity Gaming,1990-01-17,Gragas,Diana,Annie,LCS
BRUNCH ?,13,Bot Laner,United States,CompLexity Gaming,1994-11-21,Caitlyn,Varus,Kog'Maw,LCS
M EYE A,13,Support,United States,CompLexity Gaming,1993-01-01,Thresh,Sona,Taric,LCS
HOTSHOTGG,13,Top Laner,Canada,Counter Logic Gaming,1990-06-23,Malphite,Cho'Gath,Shen,LCS
CHAUSTER,13,Jungler,United States,Counter Logic Gaming,1989-02-13,Thresh,Jarvan IV,Lulu,LCS
LINK,13,Mid Laner,United States,Counter Logic Gaming,,Orianna,Ahri,Lux,LCS
BIGFATLP,13,Mid Laner,Canada,Counter Logic Gaming,1990-06-06,Nocturne,Jarvan IV,Elise,LCS
DOUBLELIFT,13,Bot Laner,United States,Counter Logic Gaming,1993-07-19,Vayne,Ezreal,Tristana,LCS
APHROMOO,13,Support,United States,Counter Logic Gaming,1992-09-08,Lulu,Sona,Thresh,LCS
KIWIKID,13,Top Laner,United States,Dignitas,1993-11-08,Elise,Zac,Singed,LCS
CRUMBZ,13,Jungler,Venezuela,Dignitas,1993-02-06,Lee Sin,Xin Zhao,Nocturne,LCS
DJ LAMBO,13,Jungler,United States,Dignitas,1995-02-19,Elise,Hecarim,0,LCS
SCARRA,13,Mid Laner,United States,Dignitas,1989-11-25,Diana,Gragas,Zed,LCS
IMAQTPIE,13,Bot Laner,United States,Dignitas,1992-02-21,Ezreal,Graves,Draven,LCS
PATOY,13,Support,United States,Dignitas,1993-03-04,Sona,Alistar,Zyra,LCS
ZIONSPARTAN,13,Top Laner,Canada,Good Game University,1994-11-12,Riven,Kha'Zix,Jayce,LCS
FAT,13,Top Laner,Canada,Good Game University,,Kha'Zix,Cho'Gath,Jayce,LCS
NINTENDUDEX,13,Jungler,United States,Good Game University,1995-07-28,Elise,Jarvan IV,Nasus,LCS
SHIPHTUR,13,Mid Laner,Canada,Good Game University,1993-01-27,Ahri,Zed,Lissandra,LCS
JINTAE,13,Mid Laner,United States,Good Game University,1992-10-24,Orianna,Karthus,Ryze,LCS
